,country_agg,GID_0,gender,age_bucket,date,rolling_total_responses,weight_sums,smoothed_pct_cli,smoothed_pct_ili,smoothed_pct_fever,smoothed_pct_cough,smoothed_pct_difficulty_breathing,smoothed_pct_fatigue,smoothed_pct_stuffy_runny_nose,smoothed_pct_aches_muscle_pain,smoothed_pct_sore_throat,smoothed_pct_chest_pain,smoothed_pct_nausea,smoothed_pct_anosmia_ageusia,smoothed_pct_eye_pain,smoothed_pct_headache,smoothed_pct_chills,smoothed_pct_cmnty_sick,smoothed_pct_ever_tested,smoothed_pct_tested_recently,smoothed_pct_worked_outside_home,smoothed_pct_grocery_outside_home,smoothed_pct_ate_outside_home,smoothed_pct_spent_time_with_non_hh,smoothed_pct_attended_public_event,smoothed_pct_used_public_transit,smoothed_pct_direct_contact_with_non_hh,smoothed_pct_wear_mask_all_time,smoothed_pct_wear_mask_most_time,smoothed_pct_wear_mask_half_time,smoothed_pct_wear_mask_some_time,smoothed_pct_wear_mask_none_time,smoothed_pct_no_public,smoothed_pct_feel_nervous_all_time,smoothed_pct_feel_nervous_most_time,smoothed_pct_feel_nervous_some_time,smoothed_pct_feel_nervous_little_time,smoothed_pct_feel_nervous_none_time,smoothed_pct_feel_depressed_all_time,smoothed_pct_feel_depressed_most_time,smoothed_pct_feel_depressed_some_time,smoothed_pct_feel_depressed_little_time,smoothed_pct_feel_depressed_none_time,smoothed_pct_worried_ill_covid19_very,smoothed_pct_worried_ill_covid19_somewhat,smoothed_pct_worried_ill_covid19_notTooWorried,smoothed_pct_worried_ill_covid19_notWorried,smoothed_pct_enough_toEat_very_worried,smoothed_pct_enough_toEat_somewhat_worried,smoothed_pct_enough_toEat_notToo_worried,smoothed_pct_enough_toEat_not_worried,smoothed_pct_finances_very_worried,smoothed_pct_finances_somewhat_worried,smoothed_pct_finances_notToo_worried,smoothed_pct_finances_not_worried,smoothed_pct_cli_weighted,smoothed_pct_ili_weighted,smoothed_pct_fever_weighted,smoothed_pct_cough_weighted,smoothed_pct_difficulty_breathing_weighted,smoothed_pct_fatigue_weighted,smoothed_pct_stuffy_runny_nose_weighted,smoothed_pct_aches_muscle_pain_weighted,smoothed_pct_sore_throat_weighted,smoothed_pct_chest_pain_weighted,smoothed_pct_nausea_weighted,smoothed_pct_anosmia_ageusia_weighted,smoothed_pct_eye_pain_weighted,smoothed_pct_headache_weighted,smoothed_pct_chills_weighted,smoothed_pct_cmnty_sick_weighted,smoothed_pct_ever_tested_weighted,smoothed_pct_tested_recently_weighted,smoothed_pct_worked_outside_home_weighted,smoothed_pct_grocery_outside_home_weighted,smoothed_pct_ate_outside_home_weighted,smoothed_pct_spent_time_with_non_hh_weighted,smoothed_pct_attended_public_event_weighted,smoothed_pct_used_public_transit_weighted,smoothed_pct_direct_contact_with_non_hh_weighted,smoothed_pct_wear_mask_all_time_weighted,smoothed_pct_wear_mask_most_time_weighted,smoothed_pct_wear_mask_half_time_weighted,smoothed_pct_wear_mask_some_time_weighted,smoothed_pct_wear_mask_none_time_weighted,smoothed_pct_no_public_weighted,smoothed_pct_feel_nervous_all_time_weighted,smoothed_pct_feel_nervous_most_time_weighted,smoothed_pct_feel_nervous_some_time_weighted,smoothed_pct_feel_nervous_little_time_weighted,smoothed_pct_feel_nervous_none_time_weighted,smoothed_pct_feel_depressed_all_time_weighted,smoothed_pct_feel_depressed_most_time_weighted,smoothed_pct_feel_depressed_some_time_weighted,smoothed_pct_feel_depressed_little_time_weighted,smoothed_pct_feel_depressed_none_time_weighted,smoothed_pct_worried_ill_covid19_very_weighted,smoothed_pct_worried_ill_covid19_somewhat_weighted,smoothed_pct_worried_ill_covid19_notTooWorried_weighted,smoothed_pct_worried_ill_covid19_notWorried_weighted,smoothed_pct_enough_toEat_very_worried_weighted,smoothed_pct_enough_toEat_somewhat_worried_weighted,smoothed_pct_enough_toEat_notToo_worried_weighted,smoothed_pct_enough_toEat_not_worried_weighted,smoothed_pct_finances_very_worried_weighted,smoothed_pct_finances_somewhat_worried_weighted,smoothed_pct_finances_notToo_worried_weighted,smoothed_pct_finances_not_worried_weighted
0,Afghanistan,AFG,male,18-34,2020-11-01,226.0,3269783.94,12.65,10.82,15.88,20.77,11.14,20.61,24.3,22.18,22.17,11.6,9.27,10.56,17.17,27.3,13.26,46.02,21.59,45.42,67.25,75.9,49.22,66.0,64.4,50.43,70.25,21.24,15.93,15.49,13.27,29.2,3.54,8.56,7.18,17.1,20.26,46.9,9.82,11.54,14.64,24.94,39.06,23.89,23.45,18.58,32.3,19.03,25.22,18.14,35.4,34.28,23.99,16.88,24.85,12.06,10.41,14.77,18.56,9.22,21.32,21.43,20.34,20.73,11.22,7.24,10.1,16.71,24.62,10.97,41.95,24.53,12.06,57.15,69.25,40.97,53.97,54.29,43.83,64.01,22.99,15.35,14.94,13.03,29.2,3.14,9.47,6.79,18.18,17.6,45.09,9.68,11.7,18.44,22.29,37.56,25.61,24.76,17.3,31.11,16.57,27.34,16.95,37.59,35.48,24.27,14.85,24.9
1,Afghanistan,AFG,male,35-54,2020-11-01,90.0,752150.46,9.34,9.34,10.61,22.88,4.77,19.36,15.1,20.9,22.17,7.17,5.95,9.43,15.18,23.81,10.59,28.89,26.46,35.19,76.12,82.9,47.25,57.49,53.62,36.76,68.54,23.33,13.33,14.44,15.56,31.11,2.22,3.54,7.99,14.76,33.07,40.63,3.33,12.22,16.67,22.22,45.56,21.11,23.33,25.56,30.0,12.22,10.0,28.89,48.89,25.69,15.83,31.46,27.01,8.38,8.38,9.5,24.47,3.04,15.62,19.93,20.35,24.06,5.67,3.84,8.63,12.4,26.03,8.91,31.94,25.91,7.25,73.24,85.88,48.0,59.22,54.86,43.51,72.31,14.27,14.17,19.01,17.29,33.8,1.46,1.62,7.07,17.48,35.71,34.73,2.89,13.48,23.85,18.2,41.57,16.36,23.08,31.56,29.0,10.0,9.95,31.37,48.68,22.03,12.37,41.19,24.04
2,Afghanistan,AFG,male,overall,2020-11-01,336.0,4151666.59,13.5,12.57,16.66,22.65,11.25,21.42,23.65,22.72,22.73,11.59,9.41,12.09,17.18,27.68,13.58,41.96,23.66,42.37,69.5,77.63,49.24,63.47,60.22,46.47,69.09,22.92,14.88,15.48,13.39,29.46,2.98,7.88,7.28,16.69,22.81,45.33,8.67,11.34,14.62,23.91,41.46,23.21,22.62,21.13,31.85,17.86,20.24,21.73,38.69,32.37,20.66,20.94,26.03,11.61,10.74,14.52,19.9,8.59,19.68,20.97,20.28,21.18,10.42,6.71,11.22,15.4,25.92,10.57,40.31,25.27,10.93,59.18,71.32,41.33,53.83,53.21,43.16,64.16,22.5,15.39,15.99,13.42,29.03,2.66,7.7,6.6,18.77,20.49,43.34,8.02,12.01,19.39,20.97,39.37,23.54,23.12,21.24,31.18,15.09,22.53,21.02,40.18,31.65,20.49,21.98,25.42
3,Afghanistan,AFG,overall,18-34,2020-11-01,256.0,3767457.55,13.99,12.35,16.86,21.62,11.47,21.61,24.46,23.46,22.73,11.84,9.41,10.54,15.95,29.2,12.99,45.91,22.68,49.01,65.73,74.14,46.3,62.53,61.2,48.4,69.05,25.39,14.84,14.84,12.11,26.56,3.91,9.5,6.75,17.82,19.43,46.5,10.63,11.76,15.26,22.4,39.95,25.39,21.88,18.75,32.42,20.31,24.61,17.58,35.16,34.45,23.34,17.71,24.51,14.95,13.56,17.3,21.61,9.46,23.11,21.74,23.7,23.6,11.88,6.96,9.59,14.96,26.31,11.01,45.54,24.98,12.82,59.86,67.3,38.64,53.47,53.09,46.13,63.95,27.73,15.99,13.03,11.42,25.91,3.16,9.36,5.72,20.68,17.48,44.39,9.83,12.09,19.16,20.61,38.01,28.29,23.74,17.9,28.99,18.14,26.52,16.71,37.16,33.45,23.66,18.78,22.41
4,Afghanistan,AFG,overall,35-54,2020-11-01,109.0,936768.45,9.63,9.63,10.62,23.58,5.83,21.58,16.32,21.88,23.02,8.8,7.76,9.65,16.22,25.27,10.73,29.36,26.41,36.85,74.66,78.21,46.27,55.63,51.46,37.09,65.72,25.69,14.68,15.6,12.84,29.36,1.83,5.65,7.55,16.87,30.91,39.03,6.42,11.93,15.6,22.02,44.04,23.85,22.02,23.85,30.28,16.51,8.26,26.61,48.62,29.5,15.84,28.68,25.98,7.04,7.04,8.25,21.16,2.61,14.96,17.71,19.31,21.17,4.83,3.87,7.28,11.87,25.08,7.69,29.43,24.72,6.57,68.98,78.02,43.8,52.09,49.07,41.96,67.44,21.57,14.42,17.06,15.15,30.59,1.21,1.62,6.27,23.22,32.47,33.9,7.37,13.17,20.82,17.98,40.66,21.39,20.61,29.61,28.4,16.17,8.23,29.36,46.24,27.96,13.28,36.49,21.93
5,Afghanistan,AFG,overall,overall,2020-11-01,657.0,7484011.8,21.05,20.51,23.97,29.64,20.07,28.92,29.61,29.13,29.37,20.63,17.87,20.48,23.72,33.9,21.03,47.74,32.3,58.61,65.75,73.11,47.4,59.24,55.82,47.61,66.57,22.07,10.05,9.89,8.07,18.72,2.74,11.64,6.55,16.75,20.71,44.35,12.19,10.13,14.35,20.7,42.63,17.5,14.46,12.79,22.53,13.7,12.18,13.7,27.55,32.61,19.89,20.3,27.2,17.91,17.4,21.13,25.33,16.13,24.81,24.05,23.99,25.29,18.62,14.35,16.63,20.09,29.36,16.57,49.61,29.29,16.22,46.77,50.66,30.77,39.3,39.24,34.18,50.56,21.47,11.8,9.71,7.69,15.94,2.17,6.82,3.62,14.6,12.71,29.39,7.55,7.78,12.19,13.18,27.36,18.44,14.52,12.6,19.69,11.77,14.09,13.48,25.92,19.74,13.97,15.52,16.32
6,Aland Islands,ALA,overall,overall,2020-11-01,86.0,303813.35,13.91,13.85,17.4,22.44,18.67,33.51,26.73,30.35,19.8,19.0,18.52,17.73,24.12,29.09,18.11,26.37,34.93,78.2,50.35,69.27,43.74,51.81,27.03,25.21,47.1,31.4,5.81,5.81,6.98,18.6,5.81,8.14,1.55,4.65,17.05,68.6,6.4,1.55,13.29,15.89,62.87,15.12,13.95,25.58,13.95,6.98,8.14,9.3,44.19,15.04,15.78,23.59,45.58,17.07,13.6,28.18,14.74,19.35,27.27,32.09,28.9,17.71,25.44,20.21,25.6,31.55,20.69,18.73,31.14,36.93,28.46,38.84,39.74,22.98,23.12,28.92,26.62,33.58,35.06,6.77,11.83,2.62,11.75,5.02,7.03,0.75,4.0,13.26,44.84,6.23,0.75,12.04,11.51,38.54,15.91,12.83,10.3,22.15,9.58,13.88,9.96,27.78,12.98,11.62,14.21,22.37
7,Albania,ALB,female,18-34,2020-11-01,72.0,134479.11,2.78,2.78,4.17,16.37,5.88,27.5,23.51,20.67,20.16,10.2,8.88,11.56,12.69,37.19,7.32,50.0,16.67,,28.14,79.17,59.17,58.03,11.66,18.33,51.39,62.5,25.0,5.56,5.56,0.0,1.39,4.17,12.65,9.72,28.4,45.06,2.78,11.11,16.67,20.83,48.61,50.0,36.11,8.33,5.56,19.44,15.28,34.72,30.56,43.7,35.0,18.43,2.87,3.29,3.29,4.68,12.55,5.15,22.96,18.51,16.66,16.14,8.48,6.21,9.49,12.32,32.23,6.29,44.43,13.85,7.82,24.75,82.89,59.96,52.72,8.31,22.25,47.19,58.53,23.63,5.49,10.86,0.0,1.49,3.57,8.95,21.94,29.38,34.86,2.29,9.42,25.76,18.02,44.5,50.07,39.47,6.4,4.07,21.78,15.56,35.55,27.11,40.13,36.48,20.86,1.03
8,Albania,ALB,female,35-54,2020-11-01,58.0,533958.63,7.11,5.39,9.03,19.16,7.3,22.41,22.8,20.69,17.24,12.88,3.86,9.03,7.3,24.14,12.88,59.36,14.01,,39.66,79.31,55.17,60.34,18.97,12.07,48.28,74.14,12.07,5.17,5.17,1.72,1.72,3.45,8.62,24.14,24.14,39.66,1.72,12.07,13.79,29.31,43.1,56.9,25.86,10.34,6.9,22.41,17.24,20.69,39.66,37.93,25.86,15.52,20.69,6.25,2.62,7.73,16.1,3.52,20.46,16.93,16.79,14.52,8.5,1.19,4.49,3.89,22.56,6.29,47.77,16.17,11.32,35.95,79.54,48.39,50.47,18.53,8.17,40.8,70.36,16.73,7.21,3.3,0.92,1.48,1.48,10.21,15.78,30.59,41.93,0.33,12.82,8.47,31.78,46.61,52.87,33.91,10.34,2.89,25.65,16.01,20.32,38.03,39.55,26.76,12.77,20.92
9,Albania,ALB,female,overall,2020-11-01,153.0,968965.99,4.11,3.41,5.49,16.4,5.53,23.53,22.22,19.6,16.87,10.35,6.86,8.72,11.41,28.6,8.88,51.23,15.22,53.65,32.48,77.12,55.87,58.0,13.98,14.64,47.71,64.71,18.3,4.58,5.23,1.96,4.58,3.96,9.22,16.45,27.02,43.36,2.61,10.46,15.03,24.84,47.06,51.63,32.68,9.8,5.88,18.95,16.99,25.49,38.56,37.53,30.88,16.45,15.15,3.33,1.86,4.26,14.59,2.96,18.72,18.16,16.79,13.43,8.58,4.89,5.14,10.02,24.34,6.0,42.6,15.24,8.14,32.0,78.32,55.06,49.63,14.06,13.67,40.19,58.92,17.48,4.99,7.02,1.8,9.07,2.31,7.87,20.43,30.37,38.61,1.59,9.98,15.97,27.26,45.2,49.59,36.21,10.2,4.0,21.06,17.52,21.59,39.83,33.51,31.66,16.75,17.58
